Serving Size,Saturated Fat,Sodium
4.8 oz (136 g),5.0,750
4.8 oz (135 g),3.0,770
3.9 oz (111 g),8.0,780
5.7 oz (161 g),10.0,860
5.7 oz (161 g),8.0,880
6.5 oz (185 g),9.0,960
 Egg & Cheese Biscuit (Regular Biscuit)",40,83
 Egg & Cheese Biscuit (Large Biscuit)",47,83
 Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",32,11
 Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",38,11
4.1 oz (117 g),12.0,1080
4.6 oz (131 g),13.0,1190
5.7 oz (163 g),14.0,1170
6.2 oz (177 g),15.0,1280
5.9 oz (167 g),12.0,1180
6.4 oz (181 g),13.0,1290
5 oz (143 g),8.0,1180
5.5 oz (157 g),9.0,1290
7.1 oz (201 g),16.0,1470
 Egg & Cheese McGriddles",32,84
 Egg & Cheese McGriddles with Egg Whites",24,11
5 oz (141 g),8.0,1030
 Egg & Cheese McGriddles",48,89
 Egg & Cheese McGriddles with Egg Whites",40,17
 Egg & Cheese Bagel",48,92
 Egg & Cheese Bagel with Egg Whites",39,20
 Egg & Cheese Bagel",53,99
9.5 oz (269 g),17.0,1560
10 oz (283 g),18.0,1680
9.6 oz (272 g),14.0,1590
10.1 oz (286 g),14.0,1700
14.8 oz (420 g),19.0,2150
15.3 oz (434 g),20.0,2260
14.9 oz (423 g),16.0,2170
15.4 oz (437 g),16.0,2290
5.3 oz (151 g),2.0,590
6.8 oz (192 g),7.0,930
3.9 oz (111 g),7.0,790
2 oz (56 g),1.5,310
4 oz (114 g),9.0,370
9.6 oz (251 g),1.5,160
9.6 oz (251 g),1.5,115
7.4 oz (211 g),10.0,960
7.1 oz (202 g),12.0,1100
8 oz (227 g),13.0,1440
8.3 oz (235 g),13.0,1180
8.6 oz (244 g),11.0,960
10 oz (283 g),19.0,1280
3.5 oz (98 g),3.0,480
4 oz (113 g),5.0,680
5.7 oz (161 g),10.0,1040
9.5 oz (270 g),15.0,1470
5.2 oz (147 g),8.0,840
5.7 oz (161 g),10.0,1110
6.7 oz (190 g),9.0,760
5.6 oz (159 g),9.0,1030
7.3 oz (208 g),10.0,980
7.5 oz (213 g),3.5,990
7 oz (200 g),2.0,820
8.8 oz (249 g),9.0,1410
8.3 oz (235 g),7.0,1250
8.1 oz (230 g),6.0,1400
7.6 oz (217 g),4.5,1230
10 oz (284 g),10.0,1720
9.5 oz (270 g),8.0,1560
5.6 oz (160 g),3.0,910
5.1 oz (143 g),3.0,800
6 oz (171 g),7.0,1260
5.7 oz (161 g),5.0,1260
5.2 oz (148 g),3.0,990
11.1 oz (316 g),9.0,1540
10.7 oz (302 g),7.0,1370
10.9 oz (310 g),8.0,1340
10.5 oz (297 g),6.0,1170
11.1 oz (314 g),8.0,1480
11.2 oz (318 g),6.0,1320
