Category,Item,Serving Size,Cholesterol,Carbohydrates
Breakfast,Egg McMuffin,4.8 oz (136 g),0.452174,0.219858
Breakfast,Egg White Delight,4.8 oz (135 g),0.0434783,0.212766
Breakfast,Sausage McMuffin,3.9 oz (111 g),0.0782609,0.205674
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),0.495652,0.212766
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),0.0869565,0.212766
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),0.521739,0.219858
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",0,0.382979
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",0,0.41844
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",0,0.382979
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",0,0.41844
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),0.0521739,0.241135
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),0.0521739,0.276596
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),0.434783,0.255319
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),0.434783,0.297872
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),0.0608696,0.241135
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),0.0608696,0.283688
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),0.0521739,0.29078
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),0.0521739,0.326241
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),0.486957,0.269504
Breakfast,"Bacon, Egg & Cheese McGriddles",0,0.368794
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",0,0.368794
Breakfast,Sausage McGriddles,5 oz (141 g),0.0608696,0.312057
Breakfast,"Sausage, Egg & Cheese McGriddles",0,0.390071
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",0,0.390071
Breakfast,"Bacon, Egg & Cheese Bagel",0.000869565,0.439716
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",0.000869565,0.439716
Breakfast,"Steak, Egg & Cheese Bagel",0.0026087,0.446809
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),0.965217,0.361702
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),0.965217,0.397163
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),0.0608696,0.35461
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),0.0608696,0.390071
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1,0.787234
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1,0.822695
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),0.0956522,0.780142
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),0.0956522,0.815603
Breakfast,Hotcakes,5.3 oz (151 g),0.0347826,0.425532
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),0.0869565,0.432624
Breakfast,Sausage Burrito,3.9 oz (111 g),0.2,0.184397
Breakfast,Hash Brown,2 oz (56 g),0,0.106383
Breakfast,Cinnamon Melts,4 oz (114 g),0.026087,0.468085
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),0.00869565,0.411348
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),0.00869565,0.347518
Beef & Pork,Big Mac,7.4 oz (211 g),0.147826,0.333333
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),0.165217,0.29078
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),0.182609,0.340426
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),0.182609,0.326241
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),0.147826,0.319149
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),0.278261,0.297872
Beef & Pork,Hamburger,3.5 oz (98 g),0.0521739,0.22695
Beef & Pork,Cheeseburger,4 oz (113 g),0.0782609,0.234043
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),0.156522,0.248227
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),0.2,0.361702
Beef & Pork,McDouble,5.2 oz (147 g),0.130435,0.241135
Beef & Pork,Bacon McDouble,5.7 oz (161 g),0.156522,0.248227
Beef & Pork,Daily Double,6.7 oz (190 g),0.13913,0.241135
Beef & Pork,Jalapeño Double,5.6 oz (159 g),0.13913,0.248227
Beef & Pork,McRib,7.3 oz (208 g),0.121739,0.312057
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),0.0782609,0.390071
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),0.113043,0.297872
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),0.147826,0.411348
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),0.182609,0.312057
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),0.121739,0.404255
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),0.156522,0.304965
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),0.156522,0.460993
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),0.191304,0.361702
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),0.0782609,0.304965
Chicken & Fish,McChicken,5.1 oz (143 g),0.0608696,0.283688
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),0.113043,0.304965
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),0.0869565,0.29078
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),0.0608696,0.283688
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),0.13913,0.397163
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),0.165217,0.297872
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),0.113043,0.397163
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),0.13913,0.297872
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),0.104348,0.48227
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),0.13913,0.390071
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),0.0869565,0.432624
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),0.113043,0.333333
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),0.0434783,0.0851064
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),0.0695652,0.12766
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),0.113043,0.212766
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),0.234783,0.41844
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),0.46087,0.836879
Chicken & Fish,Filet-O-Fish,5 oz (142 g),0.0695652,0.276596
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),0.0434783,0.070922
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),0.121739,0.156028
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),0.147826,0.0567376
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),0.0173913,0.141844
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),0.0869565,0.297872
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),0.121739,0.198582
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),0.0521739,0.262411
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),0.0695652,0.212766
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),0.0608696,0.241135
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),0.0782609,0.191489
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),0.0695652,0.22695
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),0.0782609,0.177305
Snacks & Sides,Small French Fries,2.6 oz (75 g),0,0.212766
Snacks & Sides,Medium French Fries,3.9 oz (111 g),0,0.312057
Snacks & Sides,Large French Fries,5.9 oz (168 g),0,0.475177
Snacks & Sides,Kids French Fries,1.3 oz (38 g),0,0.106383
Snacks & Sides,Side Salad,3.1 oz (87 g),0,0.0283688
Snacks & Sides,Apple Slices,1.2 oz (34 g),0,0.0283688
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),0.00869565,0.212766
Desserts,Baked Apple Pie,2.7 oz (77 g),0,0.22695
Desserts,Chocolate Chip Cookie,1 cookie (33 g),0.0173913,0.148936
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),0.0173913,0.156028
Desserts,Kids Ice Cream Cone,1 oz (29 g),0.00869565,0.0496454
Desserts,Hot Fudge Sundae,6.3 oz (179 g),0.0434783,0.375887
Desserts,Hot Caramel Sundae,6.4 oz (182 g),0.0521739,0.425532
Desserts,Strawberry Sundae,6.3 oz (178 g),0.0434783,0.347518
Beverages,Coca-Cola Classic (Small),16 fl oz cup,0,0.276596
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,0,0.390071
Beverages,Coca-Cola Classic (Large),30 fl oz cup,0,0.539007
Beverages,Coca-Cola Classic (Child),12 fl oz cup,0,0.198582
Beverages,Diet Coke (Small),16 fl oz cup,0,0
Beverages,Diet Coke (Medium),21 fl oz cup,0,0
Beverages,Diet Coke (Large),30 fl oz cup,0,0
Beverages,Diet Coke (Child),12 fl oz cup,0,0
Beverages,Dr Pepper (Small),16 fl oz cup,0,0.262411
Beverages,Dr Pepper (Medium),21 fl oz cup,0,0.375887
Beverages,Dr Pepper (Large),30 fl oz cup,0,0.510638
Beverages,Dr Pepper (Child),12 fl oz cup,0,0.191489
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0
Beverages,Sprite (Small),16 fl oz cup,0,0.262411
Beverages,Sprite (Medium),21 fl oz cup,0,0.382979
Beverages,Sprite (Large),30 fl oz cup,0,0.524823
Beverages,Sprite (Child),12 fl oz cup,0,0.191489
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),0.0173913,0.0851064
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),0.00869565,0.163121
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),0,0.148936
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,0,0.241135
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,0,0.312057
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,0,0.460993
