Category,Item,Serving Size,Cholesterol,Carbohydrates
Breakfast,Egg McMuffin,4.8 oz (136 g),260,31
Breakfast,Egg White Delight,4.8 oz (135 g),25,30
Breakfast,Sausage McMuffin,3.9 oz (111 g),45,29
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),285,30
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),50,30
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),300,31
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",0.0,54
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",0.0,59
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",0.0,54
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",0.0,59
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),30,34
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),30,39
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),250,36
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),250,42
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),35,34
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),35,40
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),30,41
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),30,46
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),280,38
Breakfast,"Bacon, Egg & Cheese McGriddles",0.0,52
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",0.0,52
Breakfast,Sausage McGriddles,5 oz (141 g),35,44
Breakfast,"Sausage, Egg & Cheese McGriddles",0.0,55
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",0.0,55
Breakfast,"Bacon, Egg & Cheese Bagel",0.5,62
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",0.5,62
Breakfast,"Steak, Egg & Cheese Bagel",1.5,63
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),555,51
