Item,Dietary Fiber,Sugars,clusters
0,0,0,4
0,0.571429,0.0234375,11
0,0.571429,0.0234375,11
0,0.571429,0.015625,11
0,0.571429,0.015625,11
0,0.571429,0.015625,11
0,0.571429,0.0234375,11
0,0,0.015625,4
0,0,0.0234375,1
0,0,0.015625,4
0,0,0.0234375,1
0,0.285714,0.015625,11
0,0.428571,0.0234375,11
0,0.285714,0.015625,11
0,0.428571,0.0234375,11
0,0.285714,0.0234375,11
0,0.428571,0.0234375,11
0,0.285714,0.0234375,11
0,0.428571,0.03125,11
0,0.285714,0.0234375,11
0,0,0.015625,4
0,0,0.015625,4
0,0.285714,0.117188,11
0,0,0.015625,4
0,0,0.015625,4
0,0,0.0234375,1
0,0,0.0234375,1
0,0,0.0234375,1
0,0.428571,0.0234375,11
0,0.571429,0.0234375,11
0,0.428571,0.0234375,11
0,0.571429,0.03125,11
0,0.857143,0.132813,7
0,1,0.132813,7
0,0.857143,0.132813,7
0,1,0.140625,7
0,0.428571,0.109375,11
0,0.428571,0.109375,11
0,0.142857,0.015625,9
0,0.285714,0,11
0,0.428571,0.25,11
0,0.714286,0.25,7
0,0.714286,0.140625,7
0,0.428571,0.0703125,11
0,0.428571,0.078125,11
0,0.428571,0.09375,11
0,0.428571,0.078125,11
0,0.428571,0.0703125,11
0,0.428571,0.078125,11
0,0.142857,0.046875,9
0,0.285714,0.0546875,11
0,0.285714,0.0546875,11
0,0.571429,0.109375,11
0,0.285714,0.0546875,11
0,0.285714,0.0546875,11
0,0.285714,0.0546875,11
0,0.285714,0.046875,11
0,0.428571,0.0859375,11
0,0.428571,0.078125,11
0,0.428571,0.0625,11
0,0.428571,0.0859375,11
0,0.428571,0.0703125,11
0,0.428571,0.0859375,11
0,0.428571,0.0703125,11
0,0.571429,0.125,11
0,0.571429,0.109375,11
0,0.285714,0.0546875,11
0,0.285714,0.0390625,11
0,0.285714,0.046875,11
0,0.285714,0.046875,11
0,0.285714,0.0390625,11
0,0.428571,0.0546875,11
0,0.428571,0.046875,11
0,0.428571,0.0625,11
0,0.428571,0.046875,11
0,0.714286,0.09375,7
0,0.714286,0.078125,7
0,0.428571,0.109375,11
0,0.428571,0.09375,11
0,0.142857,0,9
0,0.142857,0,9
0,0.285714,0,11
0,0.428571,0,11
0,0.857143,0.0078125,7
0,0.285714,0.0390625,11
0,0.428571,0.03125,11
0,0.285714,0.0390625,11
0,0.285714,0.03125,11
0,0.857143,0.046875,7
0,1,0.09375,7
0,1,0.078125,7
0,0.142857,0.0625,9
0,0.142857,0.0546875,9
0,0.142857,0.0234375,9
0,0.142857,0.015625,9
0,0.142857,0.0234375,9
0,0.142857,0.015625,9
0,0.285714,0,11
0,0.571429,0,11
0,0.714286,0,7
0,0.142857,0,9
0,0.142857,0.015625,9
0,0,0.0234375,1
0,0.142857,0.179688,9
0,0.571429,0.101563,11
0,0.142857,0.117188,9
0,0.142857,0.101563,9
0,0,0.046875,1
0,0.142857,0.375,5
0,0,0.335938,0
0,0,0.351563,0
0,0,0.304688,0
0,0,0.429688,6
0,0,0.59375,6
0,0,0.21875,10
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0.273438,0
0,0,0.398438,0
0,0,0.546875,6
0,0,0.203125,10
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0.289063,0
0,0,0.421875,6
0,0,0.578125,6
0,0,0.210938,10
0,0,0.09375,1
0,0.142857,0.171875,9
0,0,0.148438,10
0,0,0.234375,10
0,0,0.304688,0
0,0,0.453125,6
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0.28125,0
0,0,0.351563,0
0,0,0.421875,6
