Item,Calories,Sodium,Sugars
Egg McMuffin,0.159574,0.208333,0.00198675
Egg White Delight,0.132979,0.213889,0.00198675
Sausage McMuffin,0.196809,0.216667,0.0013245
Sausage McMuffin with Egg,0.239362,0.238889,0.0013245
Sausage McMuffin with Egg Whites,0.212766,0.244444,0.0013245
Steak & Egg McMuffin,0.228723,0.266667,0.00198675
Bacon, Egg & Cheese Biscuit (Regular Biscuit),0.127778,0.860927
Bacon, Egg & Cheese Biscuit (Large Biscuit),0.144444,0.933775
Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit),0.113889,0.860927
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit),0.130556,0.940397
Sausage Biscuit (Regular Biscuit),0.228723,0.3,0.0013245
Sausage Biscuit (Large Biscuit),0.255319,0.330556,0.00198675
Sausage Biscuit with Egg (Regular Biscuit),0.271277,0.325,0.0013245
Sausage Biscuit with Egg (Large Biscuit),0.303191,0.355556,0.00198675
Sausage Biscuit with Egg Whites (Regular Biscuit),0.244681,0.327778,0.00198675
Sausage Biscuit with Egg Whites (Large Biscuit),0.276596,0.358333,0.00198675
Southern Style Chicken Biscuit (Regular Biscuit),0.218085,0.327778,0.00198675
Southern Style Chicken Biscuit (Large Biscuit),0.25,0.358333,0.00264901
Steak & Egg Biscuit (Regular Biscuit),0.287234,0.408333,0.00198675
Bacon, Egg & Cheese McGriddles,0.127778,0.827815
Bacon, Egg & Cheese McGriddles with Egg Whites,0.111111,0.827815
Sausage McGriddles,0.223404,0.286111,0.00993377
Sausage, Egg & Cheese McGriddles,0.152778,0.874172
Sausage, Egg & Cheese McGriddles with Egg Whites,0.138889,0.874172
Bacon, Egg & Cheese Bagel,0.172222,0.980132
Bacon, Egg & Cheese Bagel with Egg Whites,0.158333,0.980132
Steak, Egg & Cheese Bagel,0.186111,1
Big Breakfast (Regular Biscuit),0.393617,0.433333,0.00198675
Big Breakfast (Large Biscuit),0.425532,0.466667,0.00198675
Big Breakfast with Egg Whites (Regular Biscuit),0.340426,0.441667,0.00198675
Big Breakfast with Egg Whites (Large Biscuit),0.367021,0.472222,0.00264901
Big Breakfast with Hotcakes (Regular Biscuit),0.579787,0.597222,0.0112583
Big Breakfast with Hotcakes (Large Biscuit),0.611702,0.627778,0.0112583
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),0.526596,0.602778,0.0112583
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),0.558511,0.636111,0.0119205
Hotcakes,0.18617,0.163889,0.00927152
Hotcakes and Sausage,0.276596,0.258333,0.00927152
Sausage Burrito,0.159574,0.219444,0.0013245
Hash Brown,0.0797872,0.0861111,0
Cinnamon Melts,0.244681,0.102778,0.0211921
Fruit & Maple Oatmeal,0.154255,0.0444444,0.0211921
Fruit & Maple Oatmeal without Brown Sugar,0.138298,0.0319444,0.0119205
Big Mac,0.281915,0.266667,0.00596026
Quarter Pounder with Cheese,0.276596,0.305556,0.00662252
Quarter Pounder with Bacon & Cheese,0.319149,0.4,0.00794702
