Item,Dietary Fiber,Sugars,Protein
Egg McMuffin,4,3,17
Egg White Delight,4,3,18
Sausage McMuffin,4,2,14
Sausage McMuffin with Egg,4,2,21
Sausage McMuffin with Egg Whites,4,2,21
Steak & Egg McMuffin,4,3,26
Bacon, Egg & Cheese Biscuit (Regular Biscuit),2,3,19
Bacon, Egg & Cheese Biscuit (Large Biscuit),3,4,19
Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit),2,3,20
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit),3,4,20
Sausage Biscuit (Regular Biscuit),2,2,11
Sausage Biscuit (Large Biscuit),3,3,11
Sausage Biscuit with Egg (Regular Biscuit),2,2,18
Sausage Biscuit with Egg (Large Biscuit),3,3,18
Sausage Biscuit with Egg Whites (Regular Biscuit),2,3,18
Sausage Biscuit with Egg Whites (Large Biscuit),3,3,18
Southern Style Chicken Biscuit (Regular Biscuit),2,3,17
Southern Style Chicken Biscuit (Large Biscuit),3,4,17
Steak & Egg Biscuit (Regular Biscuit),2,3,25
Bacon, Egg & Cheese McGriddles,2,15,19
Bacon, Egg & Cheese McGriddles with Egg Whites,2,16,20
Sausage McGriddles,2,15,11
Sausage, Egg & Cheese McGriddles,2,15,20
Sausage, Egg & Cheese McGriddles with Egg Whites,2,15,21
Bacon, Egg & Cheese Bagel,3,7,30
Bacon, Egg & Cheese Bagel with Egg Whites,3,8,30
Steak, Egg & Cheese Bagel,3,7,33
Big Breakfast (Regular Biscuit),3,3,28
Big Breakfast (Large Biscuit),4,3,28
Big Breakfast with Egg Whites (Regular Biscuit),3,3,26
Big Breakfast with Egg Whites (Large Biscuit),4,4,26
Big Breakfast with Hotcakes (Regular Biscuit),6,17,36
Big Breakfast with Hotcakes (Large Biscuit),7,17,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),6,17,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),7,18,35
Hotcakes,3,14,8
Hotcakes and Sausage,3,14,15
Sausage Burrito,1,2,12
Hash Brown,2,0,1
Cinnamon Melts,3,32,6
Fruit & Maple Oatmeal,5,32,5
Fruit & Maple Oatmeal without Brown Sugar,5,18,5
Big Mac,3,9,24
Quarter Pounder with Cheese,3,10,30
Quarter Pounder with Bacon & Cheese,3,12,37
Quarter Pounder with Bacon Habanero Ranch,3,10,37
Quarter Pounder Deluxe,3,9,29
Double Quarter Pounder with Cheese,3,10,48
Hamburger,1,6,12
Cheeseburger,2,7,15
Double Cheeseburger,2,7,24
Bacon Clubhouse Burger,4,14,39
McDouble,2,7,22
Bacon McDouble,2,7,27
Daily Double,2,7,22
Jalapeño Double,2,6,22
McRib,3,11,22
Premium Crispy Chicken Classic Sandwich,3,10,24
Premium Grilled Chicken Classic Sandwich,3,8,28
Premium Crispy Chicken Club Sandwich,3,11,36
Premium Grilled Chicken Club Sandwich,3,9,40
Premium Crispy Chicken Ranch BLT Sandwich,3,11,32
Premium Grilled Chicken Ranch BLT Sandwich,3,9,36
Bacon Clubhouse Crispy Chicken Sandwich,4,16,36
